"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"370829fece3190f1a8efccf50b7d0921","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"b75d05e361f46e33b39ef21d05334744","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megasphaera",NA
"ad52a0f6646c574417ce0b13b84acfa9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"a650f349bbdffb95b3624519d1ba72b8","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"86deb5cf8d6f29d383136e0d09863b69","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA
"8720f9ecd2331ce68e2896df1bf2d977","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",NA
"dafe809740d0545dc25c6939a84a1820","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus",NA
"8ce931b0c99ad5ed648c25483c1ca492","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Clostridium",NA
"32382a0f5831da5faee464d011b5616c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnobacterium",NA
"539ca948741b9a713eb781d4281b23fc","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA
"74923f4bbde849e27fc4eda25d757e2a","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]",NA
"1ba09da532a0f9985b3caf72a47b42e3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"2403a466dd6d1e4f551d80394c2aa994","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","Paraprevotella",NA
"2480f3aa1e7784b461d9b5b83a6bfc81","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella",NA
"9f74473636e6874853d88dfcbcecff49","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"1986030e3c5cd5df6d869054bc96e536","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA
"124c75409b4ecd0bf23a84e28593567d","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella",NA
