,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
35,-0.0036757152832471718,-0.12078394820334548,-0.07405075724981569,-0.10705977505269448,-0.11020181164050502,-0.11554612771002937,-0.13620859849597866,-0.12565973215494597,-0.11027104784944775,-0.14368528839263406
36,-0.008004042224599495,-0.09989455486248366,-0.07766167851630934,-0.16415989575878998,-0.12375437151474822,-0.19085534812279037,-0.09248370015116847,-0.095397016188981,-0.13957123486245626,-0.19977825089775725
37,-0.021848565512928353,-0.11658851185231933,-0.05310450706535019,-0.2244781118557071,-0.08618067645004412,-0.12890074164932974,-0.4647542237988558,-0.2352058004173636,-0.18469040285681215,-0.14924429846041076
38,-0.00986534093735325,-0.07323926153573135,-0.11951829786908985,-0.17771556011465428,-0.09186546597418577,-0.13063538787421436,-0.11197756342987031,-0.0663727283670168,-0.1204103603658051,-0.09127955541294308
39,-0.004375583668450922,-0.10203692561306332,-0.07526582929422498,-0.13214524124407423,-0.07604666661923609,-0.12120593432602056,-0.16441637716210677,-0.0912285296600226,-0.14462111847942105,-0.10567022673925708
40,-0.0049854488806537756,-0.08464413828819417,-0.05826506284417032,-0.10449125816884419,-0.0830063940557455,-0.1549884348118884,-0.1850275293331911,-0.08304312408725467,-0.08690426832816045,-0.08145152271738865
41,-0.008142872137248514,-0.054735896578602006,-0.07035245345749841,-0.19838382231205354,-0.10731957843352413,-0.09547166178129585,-0.10684037269787527,-0.08246584494290499,-0.05154282461656434,-0.16973849972825983
42,-0.01233125385375411,-0.198219144426254,-0.09377929811927133,-0.07344709988930154,-0.09967028566183145,-0.13904003617259875,-0.2500942065568297,-0.13394435284265915,-0.17893091653789228,-0.14337371055445458
43,-0.007089232775546295,-0.16849056525870054,-0.06402823949667091,-0.1402065128382557,-0.12513811028382804,-0.16638558522432145,-0.10026300410327171,-0.052577589069537245,-0.18102274212057434,-0.17346825490380624
44,-0.00828901700970297,-0.07507755389051196,-0.0771903679359458,-0.13897661491128233,-0.10070671155212207,-0.13404366317963867,-0.18754075074077514,-0.20897366255056493,-0.2175140108949276,-0.16285366453914452
45,-0.008007472221512879,-0.13502568975598428,-0.10598551778172527,-0.12462850760888755,-0.08287552925939412,-0.10593114555214145,-0.14059677058653053,-0.0923761272181296,-0.11018311163380612,-0.10425357068809915
46,-0.0035494280945882473,-0.15261123580687386,-0.08030358801159121,-0.18215909840698252,-0.12198893034231251,-0.1526793334928236,-0.14421017262922797,-0.08659935873289903,-0.09798684805357483,-0.09384481520440557
47,-0.005944816252117846,-0.2323602831636451,-0.11738535829914709,-0.17119105880927799,-0.06167421623592939,-0.13033137200737022,-0.1994621862135244,-0.08499860106499235,-0.09777697197247637,-0.12370929352908511
48,-0.004765536081150046,-0.1276412706057184,-0.06852021371328765,-0.1266395264871174,-0.12057681384278607,-0.12941253469230807,-0.16965657231761022,-0.11743681129788675,-0.11427678472546421,-0.1294156735235894
49,-0.009003407578297429,-0.13060639466245427,-0.06062534941177855,-0.0862040262561703,-0.07376017589464268,-0.13022613442193443,-0.12309830528868781,-0.12564589780917146,-0.1529997136689547,-0.1336296380338049
50,-0.014610650479118581,-0.11215075006377906,-0.10235851439796528,-0.16882659386595011,-0.13258522602705458,-0.16310426552275614,-0.09589053510911993,-0.09384557193852805,-0.09975236581032432,-0.08009339120621917
51,-0.001617529397553552,-0.08594676947906454,-0.10391007535779684,-0.10682579132114767,-0.0619160152526701,-0.1378313498858319,-0.1410755443873235,-0.19874828285205193,-0.20406578521587648,-0.16442575392863534
52,-0.006344464236580194,-0.10186010268653267,-0.06095686112928256,-0.14062142402108546,-0.10448485566756283,-0.12541466707104965,-0.18008922995768328,-0.11392991057885982,-0.1137708171300833,-0.17641606720461334
53,-0.0340631702090739,-0.08837352144202093,-0.09005193472164841,-0.16504694514650065,-0.10029184208153397,-0.11168501573157186,-0.1915561375658381,-0.053717686119981956,-0.09031823631103797,-0.07678717967459003
54,-0.011773533039297401,-0.12754422912871655,-0.09489723974811182,-0.17988809691450158,-0.1364141946582189,-0.09591959109860371,-0.1170164000245002,-0.07765526466183315,-0.12375850281913037,-0.10939254406197185
55,-0.0037807159095575305,-0.07553789801158972,-0.07721046681352117,-0.11576937434220946,-0.09456064349650872,-0.10368619204863827,-0.11429328529297322,-0.08844362378229254,-0.09596505173630732,-0.10638344532171451
56,-0.00577793054650666,-0.06453417758494151,-0.10498861235031787,-0.1629067622850433,-0.07523175671585913,-0.08800484678353793,-0.10924905135822804,-0.055246591369298326,-0.10917771717326685,-0.09197595548007187
57,-0.004587221985699497,-0.12775243682532778,-0.09392594599399406,-0.11486915279250587,-0.08417256430931364,-0.10488419274371141,-0.12238373333123853,-0.10212696071810767,-0.12711155497080173,-0.15224632277721395
58,-0.0058201644211637316,-0.056202070970627016,-0.08277432085047076,-0.12148395500468112,-0.0900907763010288,-0.13293961942524812,-0.148244741687664,-0.07358230489851025,-0.12341468389020904,-0.16574806351138038
59,-0.009455305567619199,-0.7191123227578908,-0.17509780350159554,-0.14417670537344263,-0.10554175688491352,-0.09522151481214247,-0.11048658869351713,-0.10873796989067408,-0.09620905266816093,-0.11065189788239516
60,-0.013177031645290382,-0.12464590288490585,-0.0830789242536556,-0.20660370988733878,-0.1095978861285396,-0.16532346939173093,-0.09627097733417211,-0.07497781229987388,-0.13243928863191812,-0.14523754243308407
61,-0.01703342372033778,-0.14266280924646768,-0.1274288775978527,-0.17893259271684991,-0.11670591259173646,-0.1247778213407289,-0.14825634983828273,-0.12180235534423112,-0.08870851999752571,-0.14870446835073658
62,-0.015829230337779387,-0.16402036197777736,-0.0799803301693347,-0.13142784186582834,-0.11427076409122594,-0.12417845402698635,-0.1314261681130393,-0.17622706374190944,-0.22131546646879885,-0.16217294658079884
63,-0.017930161551628965,-0.165718468319489,-0.0736682205876884,-0.1289474247598903,-0.08538004136207267,-0.11425460326845083,-0.1752240465000765,-0.21513438906381244,-0.19301493468631414,-0.1390830615150649
64,-0.012116101371022925,-0.10330217299553501,-0.08943455933374311,-0.17291080984209617,-0.12293625566699795,-0.16192687265560268,-0.2147174121053086,-0.16679563198397784,-0.15003841306141474,-0.12997873486443012
65,-0.002783712294129881,-0.10409643060101881,-0.08547923975830884,-0.12257775923358105,-0.07543089564957595,-0.09860259085395562,-0.1400587698539213,-0.07801985176246196,-0.16287244534104728,-0.11581357520138802
66,-0.008068704744415012,-0.1326178460616836,-0.06920483962369284,-0.12409612597015207,-0.09974738633131164,-0.09375386969389599,-0.10404311564435909,-0.0701512754741409,-0.10197812882160373,-0.1692674845321307
67,-0.011711313579873428,-0.15494635896570164,-0.10581209161075611,-0.16948833160749355,-0.0801036757215372,-0.09312241376745667,-0.1575393251383581,-0.08296020962595518,-0.10514538785216776,-0.15909539875047352
68,-0.004582343524911714,-0.15623003050210338,-0.06271157720854026,-0.1499660449477178,-0.09484103080625861,-0.1408059560859578,-0.1539574205759211,-0.08916888570092496,-0.12752336566816358,-0.13013380133371055
