"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9"
"sim62",2.15272509092628,3.08329273598607,3.97386870734778,4.78132103711638,5.53933872012724,6.22180893699862,7.43363800291126,7.74295031576158
"sim63",2.5678480215234,2.87646436930161,6.78385132632427,3.84737707446123,7.69043004904436,5.70551918623805,7.99635325283306,7.04765062106841
"sim64",3.02670745068899,3.94097855872054,3.04794282725383,4.98710727194666,5.82427855496044,5.34422028770655,6.21813475157416,11.0422652474597
"sim65",3.09379988561713,2.30318179063951,5.88776876534982,6.97772168109706,5.47941831663171,8.36676662749989,6.814502855341,8.32663450572354
"sim66",2.05021848762927,2.48205982816968,4.45585883730558,6.22112356599902,4.15731894249147,5.01913410061635,7.48831267554681,8.1134505816887
"sim67",3.66557074002801,3.98141093021036,3.99609778146966,4.68312143771237,5.7213480608497,9.16383008747797,6.53413867189837,9.81031540138425
"sim68",2.08215425724854,3.27840656844975,4.58315301301359,5.13135643187027,5.73495576118512,6.24713531732647,6.28450760323485,7.04029670197795
"sim69",3.07777740763796,3.64325059737047,5.18901817173546,5.50293363820939,5.22878730388969,8.76832814623079,6.30270051539373,8.73847563344066
"sim70",2.93243682402399,3.01677173289885,3.64950740129264,4.22399981990747,7.75385378220339,6.223693936698,7.76165860528168,8.95591732383038
"sim71",2.07332048747933,2.72046422104225,5.54463823522611,4.73470907183281,3.62754510385294,7.74780129820359,7.21273124812273,7.29287913686184
"sim72",2.97262591454717,2.77660353284114,2.7696271497868,7.486837010041,5.07533987707305,7.85376048986238,6.30841819311981,7.64804034311909
"sim73",1.78560381238503,1.69567488284492,3.84942811262484,4.54797609438626,6.74960354235457,7.49205601457043,8.80214933844909,10.6214165196835
"sim74",3.04600224092944,2.87761812889631,2.9512154440795,5.04972829921699,7.6195890286247,7.65016093517506,7.63439642248042,8.18093583189897
