"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9"
"sim76",1.86940826231943,3.09895680609341,4.16380989763843,4.25464557032665,4.81382123185436,6.9621410275815,7.75689450708603,8.18016921831075
"sim77",3.11249133497705,2.28129525238794,4.47445965911419,5.09112004863278,4.54042990620683,7.82990317760819,6.78254629502222,9.4793612198066
"sim78",2.24770569939394,3.56732509561986,3.53982997337404,5.54191002029019,5.28493829764833,6.51434065331814,7.29160271014999,7.16629834392327
"sim79",2.0107811218891,2.68770176705296,3.64922897687131,4.4923328039062,5.63966946979997,5.37671656705617,6.69687530343451,7.71706215364037
"sim80",2.20031104936732,4.37480926504435,3.49961745533236,3.59171251567133,6.61761234778174,5.94946222604403,6.1465438984459,7.86532780575448
"sim81",2.05545342126135,2.14306927241815,4.00226987362396,5.30485136426428,4.95862370828912,5.90500380236479,5.79020149788912,7.06095114681151
"sim82",1.75744809344343,2.84222484934591,4.88016005548,4.24661556727389,6.70688163622308,6.53328154231154,6.81202933587419,7.7175828773987
"sim83",2.69924146424464,3.004930514538,3.70652376093813,4.86247803478727,4.89490260877754,6.02983886034419,7.48891175071842,8.15481983532493
"sim84",3.12126355304808,2.59803775305661,3.71355782578753,6.25159937448289,6.21633645475915,7.01128106062216,7.73604321631844,7.78893481795914
"sim85",2.10505527724089,3.89765600920987,2.87969786433775,5.5928246529467,5.27200929365987,6.03293502163478,7.15381548752114,6.97669465554498
"sim86",3.20561535800858,3.58226706613746,3.39354527298557,5.48240700127146,7.11461335201025,5.22409896266931,7.3170479325296,8.24367024849348
"sim87",2.6262283202151,2.90628915820168,3.77321386732293,5.16803484709114,7.21769945755084,6.48551762865354,6.23622686933417,6.61861610602014
"sim88",3.56651920676745,4.53373083224144,3.44857494259771,5.94083481572821,4.43624681533239,7.48436645158912,6.44513393610701,8.19406281930947
"sim89",2.74753101827993,4.25870198400833,3.99634817544783,3.98824959217178,6.5156887249693,6.80174791246249,7.23708582752146,8.4728192491013
"sim90",3.09623901372533,2.98282333128238,3.77897838629573,4.37712600186364,6.22772368675675,6.97807107449251,6.63297235256939,7.84188402567493
"sim91",2.2795309106874,3.24093982201232,3.4446030103092,4.44325415745697,5.46120812569444,7.78841328682778,7.41706404630368,7.43509382210876
"sim92",4.02474787282352,2.73582495699605,3.35231345171408,4.99191238605709,5.07411551252545,6.92554380977117,6.93887872877231,8.66208073686028
"sim93",1.69541386983768,3.04190152238889,4.02797109184674,3.85334153805765,5.30157778309583,5.57610517068004,7.35660405046751,8.6581614593444
"sim94",2.05605157020213,4.18471490750103,3.96271555938276,5.49011452961058,6.29681822566715,4.91731354317472,7.45027300330302,7.33152278591245
"sim95",3.75295787430761,3.23049775445812,3.50461575931949,4.42699912992681,4.41079473338958,5.20570573238502,7.58721702024857,8.66369247569687
"sim96",2.77610972058716,4.86707622342152,4.57103149533178,4.49063989665881,5.66021289877276,6.74055632478899,9.16037081353378,9.43854653526052
"sim97",2.5126590118996,2.92307381181644,3.74595143677903,4.24357732991905,6.07077457605553,6.2833375404877,7.94190820644767,8.34302682540448
"sim98",2.14914512479781,3.0964544356892,4.46580503020104,5.71476556355153,5.08763358395702,5.12688959132799,5.79969981378557,8.85358346763364
"sim99",2.31750723422291,2.76583224580259,4.80778946580193,4.39403401023231,4.65859433261489,6.23700272514308,8.03339871104599,7.08562879437615
"sim100",2.98500350631333,2.535299812595,4.97810699023676,4.50824857387842,6.73013899311973,6.78359991679117,6.89177811614592,7.35567065596715
