"","nsample=2","nsample=3","nsample=4","nsample=5","nsample=6","nsample=7","nsample=8","nsample=9"
"sim17",2.19324395389803,2.04584902937213,2.55873289418412,2.64192035114385,4.88542432447456,5.20774017302374,5.43040008685255,6.5518537677399
"sim18",2.29369526037222,2.26677877143598,3.28727425940693,3.53297224940954,4.53849663479497,5.01588429719068,6.11429311072681,5.40708520967916
"sim19",1.90983995896717,2.25142167457668,2.98180215233074,3.79556256755659,4.12673336864732,4.1138045749315,5.43713537934436,6.03085145129691
"sim20",1.88081847163816,3.33552450327874,3.04628472622331,3.384034508338,4.94209449593195,4.48859819343239,5.50343753172182,5.35199606015237
"sim21",2.09540818160662,2.94850981558694,2.68369428248654,4.0914191399856,4.05104727722234,4.18688999108849,6.32608592305844,5.59197242979244
"sim22",1.7061569755582,2.39348572774007,2.64601887976979,3.28616415971193,4.52701314483454,4.69584212313107,5.87525233553916,5.46111523438395
"sim23",1.39280026136413,2.8030411611519,2.37858511159093,3.37909145432441,4.28651555470218,4.93083943633244,4.38061779391591,5.66967484945769
"sim24",2.17092078995676,3.08481073888125,2.31197169314168,3.58364648151476,4.365690080931,5.56982275284005,4.59647590088161,5.35894351197228
"sim25",2.57802814606209,2.55704094626129,2.93551132958853,3.14439381397594,3.96400886373077,4.49203621515995,5.13210505504417,6.30022527356936
"sim26",1.6705863259208,2.20045767494368,3.19416645110181,3.13218071460107,4.65404777944023,4.64510544699724,5.10407091434003,5.41385427248797
"sim27",1.55276296280035,2.13459899838823,3.4475888217022,3.51410986209405,4.39363143365998,5.40540806701894,5.54031195051855,5.21239363936817
"sim28",1.51565575789762,2.33023289584838,3.37893225677597,3.96871273068257,3.42434148862729,4.43813407245289,5.99378154071289,5.26173276627267
"sim29",2.11310540647611,2.50108270726349,3.39127853731,3.80833391690731,4.04461745616256,4.26056785366852,4.61245909320651,5.43562171877795
"sim30",1.7338994319509,2.30294748298992,2.7276398712768,3.79685107996473,3.8968380232133,5.29639275233707,5.70548227032059,6.54292234642674
"sim31",1.81350802576777,2.29798707613819,3.13881698347443,5.07628366429923,4.30025311397523,4.7901227748299,5.0396461226351,5.3939851388896
"sim32",2.27434714612864,2.8997482814133,3.75851960117729,3.71909786974611,3.65836064707768,3.82139115207965,4.78967647030603,5.91825719480378
"sim33",1.99740869898882,2.10455283982425,2.3373888205234,2.72610359028227,4.69783271423468,4.47819454300749,4.46980502348958,5.48228638602845
"sim34",1.67461780846375,2.30540312794678,2.68987323431166,2.82744115323487,3.8713141984984,5.30641611693911,5.58851958368692,6.11727375457217
"sim35",1.81700379151682,2.79023666417278,2.6629990715855,3.27923075750837,3.63231506258607,4.43954767083551,5.53838620081553,6.50189493334537
"sim36",2.08095573683667,3.79881337928754,3.37492283504506,4.13966527992785,3.79630876271397,4.93574769735244,6.21530656654872,5.54811252301238
"sim37",1.7244379385541,2.58337621689656,3.11753871928914,3.67182137662485,4.13243487796631,4.98057126242202,5.50788903019479,5.99400255381425
